model,accuracy,macro_f1,emergency_recall,distance_mae,distance_rmse,test_samples
Physics Baseline,0.6233333333333333,0.5313792953431451,0.8460846084608461,11.188826529102673,17.881382093248348,3600
MLP (primary: no brake_state),0.9166666666666666,0.8823818705913116,0.9036903690369037,5.074466065246509,9.901210752573142,3600
GRU (primary: no brake_state),0.9449139280125196,0.9103946919559119,0.9055036344755971,3.339084749366266,5.971987166141922,3195
MLP ablation: no ego_acceleration,0.9155555555555556,0.8806527290019353,0.8721872187218722,5.265099660802322,10.064744706155631,3600
MLP ablation: no brake_state & no ego_acceleration,0.9097222222222222,0.8724400805132838,0.873087308730873,4.989542755799678,9.525585805301462,3600
