epoch,train_loss,validation_loss,validation_accuracy
1,2.645640958150228,2.3514253931575353,0.8069444444444445
2,1.843745833578564,1.237324308819241,0.8363888888888888
3,0.9250903025127593,0.8929690299597052,0.8486111111111111
4,0.7793286838985625,0.8234940063456694,0.8713888888888889
5,0.7197297282445998,0.7503500598751837,0.8908333333333334
6,0.6906771128518241,0.7279151167720557,0.8941666666666667
7,0.6591784959747677,0.702691960523112,0.8938888888888888
8,0.6399026481310527,0.6805407013014579,0.8991666666666667
9,0.6218739891052246,0.6659393428421269,0.9036111111111111
10,0.6035388992513929,0.6480173166510131,0.9138888888888889
11,0.5899810459500268,0.6594468627771777,0.8825
12,0.581792308716547,0.6373095085533956,0.8988888888888888
13,0.566952028955732,0.6191895430804126,0.9058333333333334
14,0.5580843073981149,0.6093701072420097,0.905
15,0.5549911187943958,0.6006569465015653,0.9086111111111111
16,0.5552803970518566,0.5877905481639836,0.9013888888888889
17,0.5396662365822565,0.5915298149209574,0.9108333333333334
18,0.5329539730435326,0.5831584253617459,0.9030555555555555
19,0.5272248609860738,0.5763262279113082,0.9161111111111111
20,0.513577501206171,0.5652274249468205,0.915
21,0.5148408198356629,0.5673544448679443,0.9180555555555555
22,0.507506906191508,0.5679392549147209,0.9258333333333333
23,0.5007092891420637,0.5551077509893932,0.9230555555555555
24,0.49776885367575147,0.5576141006397666,0.9211111111111111
25,0.49260803290775845,0.5461309585958305,0.9241666666666667
26,0.4893384555407933,0.5479756085271947,0.9208333333333333
27,0.48627868482044767,0.5415633542998693,0.9222222222222223
28,0.48681684119360785,0.5460740355059452,0.9255555555555556
29,0.4833789648896172,0.5462768820217914,0.9225
30,0.4770525384516943,0.5350687041542389,0.9219444444444445
31,0.47314025901612783,0.5405226810878958,0.9072222222222223
32,0.4698007101104373,0.5400321438924099,0.9252777777777778
33,0.47200856276920866,0.532825438526278,0.9194444444444444
34,0.4649486226127261,0.5454226040490903,0.9144444444444444
35,0.46616039650780816,0.5320254679241528,0.9258333333333333
