epoch,train_loss,validation_loss,validation_accuracy
1,2.54177015713283,2.2170399053229226,0.7594444444444445
2,1.7280513261613393,1.0927153412501018,0.7627777777777778
3,0.8612921153931391,0.7462351159585847,0.8205555555555556
4,0.7282426650183541,0.6544029394371642,0.8313888888888888
5,0.6712473210834321,0.6120639762354808,0.8197222222222222
6,0.6352500867843628,0.5916379278815455,0.8438888888888889
7,0.6106611199606032,0.5626765726361838,0.865
8,0.5928555906386602,0.5484266064305686,0.8472222222222222
9,0.5723918407303946,0.5244634667328663,0.8694444444444445
10,0.5585712739399501,0.515798136037257,0.8661111111111112
11,0.543195138658796,0.5171625158025159,0.8713888888888889
12,0.5327836382956732,0.4980386610991425,0.8794444444444445
13,0.5164959032194955,0.4848993416875601,0.8844444444444445
14,0.5054609691529047,0.4731707497768932,0.8858333333333334
15,0.4897862265223549,0.4694114274779956,0.8911111111111111
16,0.49127984784898304,0.4766503661374251,0.8933333333333333
17,0.48810685316721597,0.47760306442777317,0.8775
18,0.47262298402332126,0.4523132473230362,0.8905555555555555
19,0.46363373200098673,0.44884130357040297,0.8961111111111111
20,0.4680737404596238,0.44148560033904183,0.8930555555555556
21,0.45953521092732746,0.436579352757997,0.8975
22,0.4557439488456363,0.44024132683873174,0.8930555555555556
23,0.4513552171275729,0.4460979927165641,0.9025
24,0.44520606619971137,0.43142299949294993,0.8977777777777778
25,0.440674079316003,0.43044593287217947,0.9030555555555555
26,0.4316865511167617,0.43617877173754904,0.9072222222222223
27,0.43015774057025,0.42859147624009186,0.9022222222222223
28,0.4291602727345058,0.43926242135465143,0.905
29,0.4283484435649145,0.42586630947060056,0.9041666666666667
30,0.42647256646837506,0.4284579523983929,0.9091666666666667
31,0.4228808581261408,0.43173743757108846,0.9016666666666666
32,0.4151198337191627,0.42924812708463933,0.9052777777777777
33,0.41581747480801173,0.4238462123150627,0.9075
34,0.41183413596380325,0.4318477274560266,0.9088888888888889
35,0.4115375272432963,0.431606355831027,0.9
