epoch,train_loss,validation_loss,validation_accuracy
1,2.216786355511763,1.9047677002788896,0.8769953051643192
2,1.8145763023358557,1.6817431039280362,0.9020344287949922
3,1.311695481386063,1.0323130048310067,0.8929577464788733
4,0.907940631229393,0.8279539555544398,0.8951486697965572
5,0.6567265783916937,0.5518772301166457,0.9176838810641628
6,0.5235205953909517,0.47081389299394194,0.929264475743349
7,0.46711529270264224,0.41746246654289615,0.9107981220657277
8,0.41400489111941263,0.3724165650973671,0.9214397496087637
9,0.38353899866042723,0.4048441648669832,0.9273865414710485
10,0.3659283878178024,0.3879637743105911,0.9248826291079812
11,0.3548574699002732,0.38387679763616345,0.9283255086071988
12,0.3377314102961504,0.37104231715668723,0.936150234741784
13,0.32710150719328585,0.3960944908325661,0.9311424100156495
14,0.3193097622381769,0.3727184995146051,0.9233176838810642
15,0.3209504661785525,0.40105779759574195,0.9208137715179968
16,0.3102790291280574,0.3842396328240307,0.923943661971831
17,0.3097987284562797,0.3694830346461939,0.9273865414710485
18,0.303222186980353,0.4048722762783555,0.92018779342723
19,0.28922571870482744,0.40904599105434986,0.92018779342723
20,0.3037735442880174,0.37167203845645713,0.9317683881064163
21,0.2916108888239768,0.38576090627806103,0.9267605633802817
22,0.28067038570131575,0.44506913397886755,0.9273865414710485
23,0.27820542719562447,0.4303073993777632,0.9273865414710485
24,0.28209881405155585,0.36646285742661205,0.9330203442879499
25,0.2683812940424517,0.37834001062248424,0.9352112676056338
26,0.2596851546839529,0.415279320344119,0.9070422535211268
27,0.26621489657562586,0.413277203488238,0.930829420970266
28,0.2605828760055629,0.38740280070961547,0.9280125195618153
29,0.24734909542849365,0.39302824658687124,0.9245696400625978
30,0.25171721371766465,0.3816865708160102,0.9305164319248826
31,0.24499687107516008,0.389343440406759,0.9311424100156495
