model,accuracy,macro_f1,emergency_recall,distance_mae,distance_rmse,test_samples
Physics Baseline,0.5769444444444445,0.5072273859837096,0.8431558935361216,10.263729973876936,15.896338158877837,3600
MLP (primary: no brake_state),0.8855555555555555,0.8434856829685633,0.8773764258555133,4.401411567504854,7.992599176650917,3600
GRU (primary: no brake_state),0.9139280125195618,0.8702774061671543,0.8981693363844394,3.2273935033106107,5.99502834897532,3195
MLP ablation: no ego_acceleration,0.8875,0.8441439679818576,0.8574144486692015,4.450460626585021,8.189887302644207,3600
MLP ablation: no brake_state & no ego_acceleration,0.8705555555555555,0.8210426019451269,0.8878326996197718,4.416750870469777,7.986152547804879,3600
