epoch,train_loss,validation_loss,validation_accuracy
1,2.6793067537035262,2.415237648487091,0.8052777777777778
2,1.9228066671462285,1.2581250948376126,0.8261111111111111
3,0.9044094186737424,0.8890312818686167,0.8597222222222223
4,0.7613087670008342,0.825585730208291,0.8586111111111111
5,0.7212023186683655,0.7800009422169791,0.8730555555555556
6,0.6945005182992844,0.7681894263790714,0.8786111111111111
7,0.6748207416988554,0.7386459565990501,0.8858333333333334
8,0.6654725817271642,0.7158229298227363,0.8919444444444444
9,0.6411346521831695,0.7055954902867476,0.8925
10,0.6310299469175793,0.693238245571653,0.8863888888888889
11,0.618175816081819,0.677606822397146,0.9005555555555556
12,0.6079166643960136,0.669937001425359,0.8988888888888888
13,0.5948348963828314,0.6666238291851349,0.9047222222222222
14,0.5858964773586818,0.6545557557791472,0.9055555555555556
15,0.5777538887092045,0.6377871965161628,0.9030555555555555
16,0.5735638602574666,0.6359557409832874,0.9122222222222223
17,0.565515878541129,0.6527225142510401,0.9030555555555555
18,0.5554658954484122,0.6134047073291408,0.8994444444444445
19,0.5547423571632022,0.6062397815535466,0.9088888888888889
20,0.5450099917820522,0.6031713249865506,0.9033333333333333
21,0.5380756803353628,0.599981997364925,0.8977777777777778
22,0.5332489824295044,0.5944055193083154,0.9052777777777777
23,0.5295083273024787,0.5947961214308938,0.9069444444444444
24,0.523081305878503,0.5776310004293919,0.9030555555555555
25,0.5240024934496198,0.5721733875903818,0.9036111111111111
26,0.5141045346714201,0.564192973110411,0.9108333333333334
27,0.5140237991015116,0.5770784737997585,0.9102777777777777
28,0.5095677693117232,0.5718210404780176,0.9163888888888889
29,0.5089908341566721,0.5606240474349923,0.9152777777777777
30,0.5071043269974845,0.5535224338869253,0.9127777777777778
31,0.5051305236135211,0.5456411067065265,0.9094444444444445
32,0.49605749573026386,0.5484062385020985,0.9205555555555556
33,0.4990755593776703,0.5463336764855518,0.9063888888888889
34,0.48927347432999385,0.5451171701774001,0.9180555555555555
35,0.4932455710002354,0.5529577656752533,0.9136111111111112
