model,accuracy,macro_f1,emergency_recall,distance_mae,distance_rmse,test_samples
Physics Baseline,0.6006259780907668,0.5262476579640116,0.8443935926773455,9.390469400738604,15.047384575347376,3195
MLP (primary: no brake_state),0.8970266040688576,0.8505607892250738,0.9153318077803204,3.906770749430497,7.321495666819292,3195
GRU (primary: no brake_state),0.9139280125195618,0.8702774061671543,0.8981693363844394,3.2273935033106107,5.99502834897532,3195
