model,feature,masked_macro_f1,macro_f1_drop,masked_distance_mae
gru,ego_speed,0.8013278580132824,0.068949548153872,12.60530929210813
gru,lead_speed,0.742131807354507,0.12814559881264742,9.508480365943537
gru,distance,0.5773321948004443,0.29294521136671015,3.117193688234644
gru,relative_speed,0.6441767703192017,0.2261006358479527,6.817562556890144
gru,ttc,0.8123154949130594,0.057961911254095,2.9347583527513526
gru,ego_acceleration,0.8323198703338561,0.037957535833298306,6.061825514626317
gru,road_friction,0.8595898792596387,0.010687526907515732,7.586244775602777
gru,road_slope,0.8626915545825783,0.007585851584576142,3.8964547125044016
gru,vehicle_mass,0.8788004866425617,-0.008523080475407285,2.9947398188092538
gru,reaction_time,0.8666111454492782,0.003666260717876235,3.0867206225310144
gru,sensor_delay_ms,0.8859367407572108,-0.015659334590056417,3.3935625200990605
transformer,ego_speed,0.763075485930711,0.07133186902521205,13.888917593462816
transformer,lead_speed,0.7105301250164157,0.12387722993950734,9.582213085857898
transformer,distance,0.5600971552599635,0.2743101996959595,3.8410778181786256
transformer,relative_speed,0.6516363426939916,0.18277101226193138,8.421095284977447
transformer,ttc,0.8550864201154379,-0.020679065159514898,4.90383298576464
transformer,ego_acceleration,0.8129653190146816,0.02144203594124139,4.473831586736358
transformer,road_friction,0.8316694368275795,0.002737918128343453,7.476941533466722
transformer,road_slope,0.8339024842734512,0.0005048706824718474,3.702720424293428
transformer,vehicle_mass,0.8356977108933478,-0.0012903559374247697,3.501106293868647
transformer,reaction_time,0.8332024967874662,0.001204858168456835,3.314613075764975
transformer,sensor_delay_ms,0.8383628783008339,-0.003955523344910894,3.4428480271799473
