model,timestep_from_history_start,masked_macro_f1,macro_f1_drop,masked_distance_mae
gru,0,0.8711016546460537,-0.000824248478899281,3.7149845720067654
gru,1,0.8785332172281071,-0.008255811060952634,4.0321365820067605
gru,2,0.8701962315561382,8.117461101619927e-05,4.242650064679828
gru,3,0.8626397094895616,0.007637696677592842,4.575826399784582
gru,4,0.8506751775778998,0.019602228589254644,4.774755054915904
gru,5,0.8391506606594192,0.0311267455077352,4.8019857523430876
gru,6,0.8286318220262737,0.04164558414088071,4.757729788880842
gru,7,0.8164317695521374,0.05384563661501707,4.664866178228151
gru,8,0.8057669457711013,0.06451046039605313,4.514819490385617
gru,9,0.8032049590754521,0.06707244709170235,4.608178531898095
transformer,0,0.8401140701893967,-0.005706715233473658,3.3622716443156984
transformer,1,0.839825446449156,-0.005418091493233024,3.3946170661868074
transformer,2,0.8496251383619989,-0.015217783406075935,3.6006155889366167
transformer,3,0.8436523435299912,-0.009244988574068191,4.490396134765944
transformer,4,0.8388347916357016,-0.004427436679778629,5.081911395551529
transformer,5,0.8231867386259685,0.011220616329954525,4.9750170191765966
transformer,6,0.8085124488117822,0.025894906144140806,4.690506343978001
transformer,7,0.790385792523713,0.044021562432210004,4.872957364567271
transformer,8,0.7850134502549565,0.049393904700966496,4.955436390559794
transformer,9,0.5126007672763498,0.32180658767957315,11.938307385646384
