epoch,train_loss,validation_loss,validation_accuracy
1,2.3510824377947728,1.526996878193391,0.9821596244131455
2,1.012079248222067,0.45965325603817075,0.9940532081377151
3,0.46596503004701567,0.32189384308552693,0.994679186228482
4,0.37750827875975235,0.2707241129974701,0.9912363067292644
5,0.334562284118133,0.23612207136339292,0.9959311424100157
6,0.2998362536241671,0.22969816421319075,0.9943661971830986
7,0.27917334738391747,0.23178493628381938,0.9949921752738654
8,0.2596513310348644,0.21670122662135555,0.9937402190923318
9,0.2539919078130198,0.22112931690294432,0.9940532081377151
10,0.24807012164296918,0.20506055374086724,0.9959311424100157
11,0.23311513453462154,0.21800079753416773,0.9965571205007825
12,0.2223365873338231,0.22750404134202426,0.9934272300469483
13,0.2225271050359162,0.23613824903101163,0.9949921752738654
14,0.22810809407595578,0.21835967716002871,0.9949921752738654
15,0.21353650075489047,0.21507306229324435,0.9956181533646322
16,0.2198753223492746,0.2117495614326145,0.9956181533646322
17,0.215936528183245,0.20550465929265416,0.996244131455399
