epoch,train_loss,validation_loss,validation_accuracy
1,2.6847974195934476,1.9055016759191121,0.9416666666666667
2,1.5937649362427848,0.7785449879727546,0.9341666666666667
3,0.774585915576844,0.4874048556877146,0.9561111111111111
4,0.6820423128491356,0.4449010836413104,0.9611111111111111
5,0.6570064959639594,0.42578272086125796,0.9580555555555555
6,0.6212647040685018,0.40783072981867013,0.9611111111111111
7,0.6055700195403326,0.4052755233880339,0.9611111111111111
8,0.5789458454222907,0.40081853389660127,0.9569444444444445
9,0.5589383293333507,0.3825905244863194,0.9591666666666666
10,0.548100821744828,0.368644104910025,0.9655555555555555
11,0.5314327770187741,0.37351831656017376,0.9575
12,0.5139571453276135,0.35609760692379056,0.9638888888888889
13,0.511851114432017,0.35418188412315876,0.9638888888888889
14,0.4922065927868798,0.35850899277130355,0.96
15,0.49039424697558087,0.33911094633737693,0.965
16,0.4786316054207938,0.3433229858809037,0.9625
17,0.47360919464202156,0.3341551102598499,0.9647222222222223
18,0.4646446507317679,0.3299744769732156,0.9672222222222222
19,0.45678865330559865,0.3301832303802172,0.9666666666666667
20,0.4507890124831881,0.3238940640820397,0.9663888888888889
21,0.4404816875003633,0.33219465698798495,0.9627777777777777
22,0.4396646554697128,0.3264624785847134,0.9638888888888889
23,0.4410085053670974,0.32322943541738725,0.9669444444444445
24,0.42194594519478934,0.32476748188998966,0.9672222222222222
25,0.42524277732485816,0.31898955768346793,0.9666666666666667
26,0.420383992989858,0.3119003065162235,0.9688888888888889
27,0.4155379101208278,0.32233372300863267,0.9672222222222222
28,0.4103400581223624,0.3266645719806352,0.9658333333333333
29,0.4196998440084003,0.31804091166787674,0.9686111111111111
30,0.40169814214819954,0.32255065483517115,0.9661111111111111
31,0.40045911618641444,0.3232468632327186,0.9663888888888889
32,0.40571119217645557,0.31332666783862645,0.9694444444444444
33,0.40204834994815647,0.3139313220116827,0.9675
