epoch,train_loss,validation_loss,validation_accuracy
1,1.9309332002986697,1.6845191311097971,0.9136612021857924
2,1.472605690092523,1.2022582900980132,0.9366120218579235
3,0.8624514461796698,0.8107528608353411,0.9052823315118397
4,0.5944388093564958,0.6745224456752367,0.9180327868852459
5,0.47626720030125375,0.6311536271715424,0.917304189435337
6,0.4206831713936275,0.5318194916556659,0.9347905282331512
7,0.3917807348997308,0.5379618064519052,0.9256830601092896
8,0.36918358050874206,0.4732263236749368,0.9238615664845173
9,0.34555146001354964,0.5499341445325285,0.9224043715846995
10,0.3411433953870376,0.4809128699624039,0.9285974499089253
11,0.33464574755680554,0.5945360439071239,0.9278688524590164
12,0.32363878133751095,0.42420275120135864,0.9355191256830601
13,0.31151708500120995,0.5425774519560767,0.9231329690346084
14,0.298614515325783,0.5054486167452592,0.9340619307832423
15,0.29241082766947574,0.4314507429717017,0.9275045537340619
16,0.31648636807416397,0.5191986051413531,0.9340619307832423
17,0.28151271141757267,0.4973335088493611,0.9398907103825137
18,0.29160683098875106,0.48317232739947097,0.9296903460837888
19,0.27011826629288765,0.5661398513720987,0.926047358834244
