epoch,train_loss,validation_loss,validation_accuracy
1,1.8380925881151062,0.916523637756682,0.8663536776212832
2,0.8068696056733109,0.714178025890404,0.8992175273865415
3,0.6422040769271927,0.6357643256258331,0.9057902973395932
4,0.5774900915637102,0.5993628737745523,0.9045383411580594
5,0.5287759080019515,0.6353693915458166,0.8816901408450705
6,0.5077019096220363,0.5472333992964039,0.9220657276995305
7,0.5001932389139729,0.5257121626013694,0.9289514866979656
8,0.45429118147318515,0.524497906413623,0.9142410015649453
9,0.45292165863841755,0.5268910562022004,0.9145539906103286
10,0.4447375210238175,0.5685215175618215,0.9120500782472614
11,0.4227927438689909,0.45752290792308503,0.9236306729264476
12,0.4122276216525507,0.574734136117083,0.9104851330203443
13,0.4018192494579164,0.5058401866604652,0.9214397496087637
14,0.3859230621879649,0.46285625538542424,0.923943661971831
15,0.39957837511596067,0.4915381559743568,0.9183098591549296
16,0.38395167012329795,0.5315341355188725,0.9189358372456964
17,0.3748503001962709,0.5139502686140869,0.9273865414710485
18,0.35946065809485256,0.624787695642928,0.8960876369327073
